CTE,dCTE,rCurvature,r1,r2,r3,r4,r5,steerAngle
-0.0864377638391722,0.000633226126918018,200,200,200,200,200,200,-0.025
-0.084478631103366,0.00195913273580622,200,200,200,200,200,200,-0.025
-0.0829359878868219,0.00154264321654407,200,200,200,200,200,200,-0.025
-0.0809775506454031,0.00195843724141875,200,200,200,200,200,200,-0.025
-0.0785273028027746,0.00245024784262848,200,200,200,200,200,200,-0.025
-0.0765713458757592,0.00195595692701547,200,200,200,200,200,200,-0.025
-0.0750337238040223,0.00153762207173688,200,200,200,200,200,200,-0.025
-0.0721728825238803,0.00286084128014195,200,200,200,200,200,200,-0.025
-0.0706404763868855,0.00153240613699487,200,200,200,200,200,200,-0.025
-0.0677857629914236,0.00285471339546189,200,200,200,200,200,200,-0.025
-0.0649348348126856,0.00285092817873799,200,200,200,200,200,200,-0.025
-0.0620880709145082,0.00284676389817743,200,200,200,200,200,200,-0.025
-0.0596622822203939,0.00242578869411425,200,200,200,200,200,200,-0.024
-0.0568267597085423,0.00283552251185159,200,200,200,200,200,200,-0.024
-0.0540003834297454,0.00282637627879696,200,200,200,200,200,200,-0.024
-0.0511863865162622,0.00281399691348313,200,200,200,200,200,200,-0.023
-0.0474780241179406,0.00370836239832162,200,200,200,200,200,200,-0.023
-0.0446967531983564,0.00278127091958416,200,200,200,200,200,200,-0.023
-0.0410275423509571,0.00366921084739934,200,200,200,200,200,200,-0.022
-0.0369655165484704,0.00406202580248675,200,200,200,200,200,200,-0.021
-0.0342560740399871,0.0027094425084833,200,200,200,200,200,200,-0.02
-0.030666316721307,0.00358975731868007,200,200,200,200,200,200,-0.02
-0.0271093904842594,0.00355692623704758,200,200,200,200,200,200,-0.019
-0.0235873413769876,0.00352204910727183,200,200,200,200,200,200,-0.018
-0.0196875413518471,0.00389980002514048,200,200,200,200,200,200,-0.016
-0.0162453817486031,0.00344215960324404,200,200,200,200,200,200,-0.015
-0.0128431742608538,0.00340220748774922,200,200,200,200,200,200,-0.014
-0.00906270433594451,0.00378046992490934,200,200,200,200,200,200,-0.013
-0.00481949304325726,0.00424321129268725,200,200,200,200,200,200,-0.011
-0.00109843686947405,0.00372105617378321,200,200,200,200,200,200,-0.01
0.0021846389916494,0.00328307586112345,200,200,200,200,200,200,-0.008
0.00635911778156299,0.00417447878991359,200,200,200,200,200,200,-0.007
0.0100249029879656,0.00366578520640257,200,200,200,200,200,200,-0.006
0.0132663775321243,0.00324147454415878,200,200,200,200,200,200,-0.005
0.0178278931643168,0.00456151563219248,200,200,200,200,200,200,-0.004
0.0210642681293017,0.00323637496498484,200,200,200,200,200,200,-0.002
0.0247201296910914,0.00365586156178969,200,200,200,200,200,200,-0.001
0.0288793204225072,0.00415919073141586,200,200,200,200,200,200,-0.001
0.0321404560634397,0.00326113564093245,200,200,200,200,200,200,-0
0.035821373852664,0.00368091778922437,200,200,200,200,200,200,0
0.0399904078847645,0.0041690340321005,200,200,200,200,200,200,0.001
0.0436470175082072,0.0036566096234427,200,200,200,200,200,200,0.002
0.0468602405817221,0.00321322307351482,200,200,200,200,200,200,0.002
0.0513582375494479,0.00449799696772584,200,200,200,200,200,200,0.003
0.0544811686518878,0.00312293110243987,200,200,200,200,200,195.094497126097,0.004
0.057542958032787,0.00306178938089922,200,200,200,200,195.094497126097,195.094497126097,0.004
0.0618551577684635,0.00431219973567655,200,200,200,195.094497126097,195.094497126097,195.094497126097,0.005
0.0647604504373149,0.00290529266885135,200,200,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.007
0.067983656583882,0.00322320614656707,200,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.008
0.0706880972487314,0.0027044406648494,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.009
0.0741871216122717,0.00349902436354035,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.01
0.0770616328177752,0.00287451120550347,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.012
0.0794214501350916,0.00235981731731641,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.013
0.0830351947165285,0.0036137445814369,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.014
0.0852921555031582,0.00225696078662968,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.015
0.0875504218152824,0.00225826631212418,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.015
0.0902575704396718,0.00270714862438941,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.016
0.0926219306931889,0.00236436025351716,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.016
0.0950948139202917,0.00247288322710278,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.016
0.0981197757517713,0.00302496183147963,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,195.094497126097,0.016
