x,y,z
-152.2568818,56.22442286,5.087806346
-151.6427449,56.03023861,5.093807053
-151.030211,55.83996418,5.099811657
-150.4188662,55.65471236,5.105814734
-149.8091389,55.47367891,5.111811749
-149.2008619,55.29842899,5.116844886
-148.5945168,55.12722503,5.122816665
-147.9900389,54.96025537,5.127842654
-147.3872438,54.79790947,5.132848473
-146.7860989,54.63975813,5.137849426
-146.1868335,54.48558491,5.141880911
-145.5895681,54.33638468,5.14588229
-144.9948175,54.19134208,5.148910164
-144.4026891,54.05118322,5.15191036
-143.8134023,53.91598864,5.154911363
-143.2270866,53.78579055,5.156941684
-142.6438885,53.65965001,5.160884127
-142.0630158,53.53951445,5.162941426
-141.4842808,53.42423925,5.165915498
-140.9072878,53.31410513,5.168915315
-140.3319849,53.20812569,5.170941025
-139.757842,53.10873709,5.173917058
-139.1853263,53.01370681,5.175943014
-138.6142407,52.92453139,5.178914672
-138.0446062,52.84044724,5.181912599
-137.4763314,52.76127145,5.184913742
-136.9092429,52.68809124,5.187914059
-136.3434733,52.61997912,5.191883581
-135.7789573,52.55775417,5.194915121
-135.2158508,52.50060478,5.198887384
-134.6542664,52.44850508,5.201913169
-134.0944258,52.40129699,5.205889618
-133.5366086,52.36014686,5.209888111
-132.9813538,52.32302358,5.213889342
-132.4288225,52.29091559,5.217885551
-131.8790527,52.2637403,5.222862908
-131.3319531,52.24062874,5.226890654
-130.7872721,52.22347638,5.231859889
-130.2449081,52.21035757,5.236862472
-129.7046691,52.20221732,5.241864175
-129.1664381,52.19908051,5.247838981
-128.6302325,52.20094689,5.252867234
-128.096179,52.20684069,5.257867238
-127.5643793,52.21867565,5.263837827
-127.0347771,52.2345833,5.269843738
-126.5072648,52.25543265,5.274864916
-125.9816138,52.28132579,5.280844414
-125.4576318,52.31219354,5.286843911
-124.9352269,52.34802071,5.292836786
-124.4143723,52.38789656,5.298834484
-123.8953486,52.4327559,5.30483412
-123.378422,52.48260522,5.310832627
-122.863742,52.53752956,5.316839588
-122.3512273,52.59636372,5.323805865
-121.8409903,52.66024435,5.329835408
-121.3328208,52.72814997,5.336809556
-120.8267428,52.80101734,5.342837042
-120.3225754,52.87792598,5.348838388
-119.8204782,52.95979838,5.354838906
-119.320608,53.0466322,5.361809488
-118.8231079,53.13759996,5.367841756
-118.328324,53.23341596,5.373838498
-117.8361696,53.33332325,5.380812627
-117.346613,53.43731748,5.387819445
-116.8597287,53.54615107,5.393843178
-116.3751886,53.65892719,5.400809649
-115.8928678,53.7758765,5.40683982
-115.4127618,53.89775639,5.413813891
-114.9351271,54.0254848,5.419835225
-114.4594735,54.15655994,5.42681618
-113.9862543,54.29247657,5.433818647
-113.5154153,54.43328333,5.440815485
-113.0466086,54.57810182,5.447811812
-112.5797829,54.72692153,5.453835766
-112.1153133,54.88091327,5.46081424
-111.6530315,55.0395248,5.467802979
-111.1928549,55.20244489,5.474804382
-110.7347105,55.36936538,5.480833487
-110.2791926,55.54139093,5.487812421
-109.8261623,55.71727471,5.494812062
-109.3759334,55.89722663,5.501814369
-108.9284382,56.08089145,5.508805653
-108.4837495,56.26861369,5.515799446
-108.0413963,56.45964321,5.521831724
-107.6019599,56.65566026,5.528809295
-107.1652355,56.85637221,5.535804007
-106.7309901,57.06133649,5.542806612
-106.2990272,57.27018131,5.548832956
-105.8696483,57.48321658,5.555809935
-105.4433134,57.70071352,5.56279814
-105.0197741,57.92184851,5.568832991
-104.5989828,58.14659589,5.575800761
-104.1810659,58.37538973,5.581826805
-103.7659585,58.60828593,5.58879829
-103.3536424,58.84530279,5.59483045
-102.9438598,59.08602874,5.600826442
-102.5363954,59.33016835,5.60780401
-102.1318351,59.57872363,5.613824666
-101.7300356,59.83142536,5.620790425
-101.3310235,60.08825552,5.626819195
-100.9340724,60.34809362,5.632817545
-100.5398798,60.61203993,5.638819089
-100.1484786,60.88013232,5.644823858
-99.75958407,61.15190009,5.650821325
-99.37319864,61.4273002,5.655842395
-98.98951561,61.70661134,5.661819599
-98.6087931,61.99020935,5.667814282
-98.230907,62.277928,5.6728425
-97.85503377,62.56868663,5.678807972
-97.48282432,62.8645914,5.683841071
-97.11226027,63.16311908,5.688834767
-96.7448965,63.4661781,5.694805507
-96.38006582,63.77285149,5.699834715
-96.01817825,64.08353747,5.704831792
-95.65928369,64.39822183,5.709828918
-95.30293728,64.71633692,5.71579881
-94.95012729,65.03890336,5.720828225
-94.5999679,65.36485276,5.72582903
-94.25294149,65.69464354,5.730827932
-93.90909079,66.02826068,5.736789114
-93.56796468,66.36517567,5.741824565
-93.23004528,66.70584781,5.746821815
-92.89584819,67.0507616,5.751822632
-92.56393192,67.39849305,5.756820302
-92.23574268,67.7503981,5.762785195
-91.91083062,68.10604093,5.767817991
-91.58868693,68.46497016,5.772818526
-91.27024725,68.82802509,5.777808037
-90.95466111,69.1944509,5.782814903
-90.64222577,69.56450875,5.7878047
-90.33311182,69.93834039,5.792804016
-90.02678681,70.31547834,5.797807405
-89.72422389,70.69658902,5.802798286
-89.42470529,71.08096712,5.806843408
-89.12859079,71.46880667,5.81180421
-88.835926,71.8600444,5.815837188
-88.54690635,72.25472661,5.820794008
-88.26095703,72.6523605,5.824832769
-87.97871965,73.05333483,5.829792205
-87.70073296,73.45790702,5.83383118
-87.42664801,73.86565552,5.838787445
-87.15588103,74.27598117,5.842824634
-86.88945705,74.68921142,5.846827714
-86.62749934,75.10474151,5.850824438
-86.37023213,75.5217751,5.854825181
-86.11731622,75.93930363,5.859776359
-85.86986952,76.35760542,5.863823975
-85.62846123,76.77681223,5.86782637
-85.39129964,77.19579094,5.871826166
-85.15974779,77.61531894,5.876789009
-84.93276407,78.03493433,5.880827946
-84.71164398,78.45562843,5.884825448
-84.49514673,78.87717234,5.888830616
-84.28306463,79.29991351,5.892828969
-84.07603767,79.7244444,5.896825359
-83.87296586,80.15018494,5.900823333
-83.67550415,80.57756715,5.903870495
-83.48235325,81.0054757,5.906870157
-83.2943976,81.4338374,5.910821328
-83.11107395,81.86211667,5.91386764
-82.9327652,82.29032863,5.915912751
-82.75947946,82.7184959,5.918870298
-82.5911141,83.14687599,5.921872963
-82.42700808,83.57566788,5.923914536
-82.26783562,84.00551373,5.926871026
-82.11387406,84.43671691,5.928910726
-81.96366335,84.86880956,5.929955578
-81.81751936,85.30166517,5.931910694
-81.6773284,85.73538196,5.932954797
-81.54014195,86.16858785,5.933955168
-81.40787583,86.6017255,5.934955486
-81.28061532,87.03485484,5.935955785
-81.15741623,87.46793309,5.936
-81.03928682,87.90155525,5.936
-80.92597537,88.33589104,5.936
-80.81701628,88.7709349,5.936
-80.71169878,89.20653364,5.93504475
-80.61159022,89.64294073,5.935
-80.51640313,90.07974559,5.933092698
-80.42530388,90.5163319,5.932047295
-80.33902449,90.95259678,5.930093593
-80.25687458,91.3883986,5.929047251
-80.17954009,91.82400081,5.92709195
-80.10643181,92.25950318,5.924141033
-80.03824315,92.69520566,5.922095387
-79.97500981,93.13117018,5.919143324
-79.91487626,93.56709921,5.916143813
-79.86056933,94.00325508,5.91314274
-79.81038977,94.43916122,5.910143386
-79.7651152,94.87455303,5.906188018
-79.72396741,95.30912629,5.903143957
-79.68680319,95.74284905,5.89919494
