x,y,z
-245.306912960059,201.283589531963,0.52
-245.308227919332,202.28358867533,0.52
-245.309510032362,203.283587861289,0.52
-245.310759061825,204.283587089119,0.52
-245.311974770394,205.283586358096,0.52
-245.313156920743,206.283585667499,0.52
-245.314305275536,207.283585016607,0.52
-245.315419588837,208.283584404625,0.52
-245.316499590245,209.283583830562,0.52
-245.317545005034,210.28358329339,0.52
-245.318555558481,211.283582792081,0.52
-245.319530975861,212.283582325606,0.52
-245.320470982449,213.283581892938,0.52
-245.321375303521,214.283581493049,0.52
-245.322243664353,215.28358112491,0.52
-245.323075790221,216.283580787495,0.52
-245.3238714064,217.283580479773,0.52
-245.324630238165,218.283580200719,0.52
-245.325352010793,219.283579949303,0.52
-245.326036449557,220.283579724498,0.52
-245.326683271314,221.283579525197,0.52
-245.327292164461,222.283579350031,0.52
-245.327862811395,223.283579197575,0.52
-245.328394894507,224.283579066402,0.52
-245.328888096192,225.283578955087,0.52
-245.329342098844,226.283578862205,0.52
-245.329756584857,227.28357878633,0.52
-245.330131236624,228.283578726037,0.52
-245.330465736539,229.2835786799,0.52
-245.330759766996,230.283578646494,0.52
-245.331013010388,231.283578624393,0.52
-245.33122514911,232.283578612171,0.52
-245.331395864038,233.283578608388,0.52
-245.331524810509,234.283578611335,0.52
-245.331611622653,235.28357861908,0.52
-245.331655933953,236.283578629688,0.52
-245.331657377893,237.28357864122,0.52
-245.331615587957,238.28357865174,0.52
-245.33153019763,239.283578659311,0.52
-245.331400840395,240.283578661995,0.52
-245.331227149737,241.283578657855,0.52
-245.331008759139,242.283578644954,0.52
-245.330745302087,243.283578621355,0.52
-245.330436412063,244.28357858512,0.52
-245.330081720149,245.283578534285,0.52
-245.329680826415,246.283578466518,0.52
-245.329233309369,247.283578379235,0.52
-245.328738747081,248.283578269845,0.52
-245.328196717625,249.283578135761,0.52
-245.327606799069,250.283577974391,0.52
-245.326968569487,251.283577783146,0.52
-245.326281606949,252.283577559437,0.52
